trigger_team,2up_triggered,comeback_occurred
Bristol City,True,False
West Brom,False,False
Norwich,False,False
Birmingham,False,False
Stoke,True,False
Ipswich,False,False
Leicester,False,False
Southampton,False,False
Plymouth,False,False
Birmingham,False,False
Bristol City,False,False
Cardiff,False,False
Leicester,True,False
Coventry,False,False
Swansea,False,False
Huddersfield,False,False
Middlesbrough,False,False
Hull,False,False
Blackburn,False,False
Ipswich,False,False
QPR,False,False
Millwall,False,False
Norwich,False,False
Preston,False,False
Sheffield Weds,False,False
Rotherham,False,False
Sunderland,False,False
Watford,False,False
Stoke,False,False
West Brom,False,False
Leeds,False,False
Sunderland,True,False
Preston,False,False
Blackburn,False,False
Rotherham,False,False
Bristol City,False,False
Millwall,False,False
Leeds,True,False
Birmingham,False,False
Leicester,True,False
Huddersfield,False,False
Middlesbrough,False,False
Coventry,True,False
Norwich,False,False
Southampton,False,False
Plymouth,False,False
Watford,False,False
QPR,False,False
Cardiff,False,False
Stoke,False,False
Ipswich,False,False
Swansea,False,False
West Brom,False,False
Sheffield Weds,True,False
Hull,False,False
Hull,False,False
Norwich,False,False
Coventry,True,False
Leicester,False,False
Birmingham,False,False
Swansea,False,False
Cardiff,False,False
Leeds,True,False
Huddersfield,False,False
Plymouth,False,False
Millwall,False,False
Middlesbrough,True,False
Preston,True,False
Bristol City,False,False
Rotherham,False,False
Stoke,False,False
Southampton,True,False
Sheffield Weds,False,False
West Brom,True,False
Blackburn,False,False
Ipswich,False,False
Sunderland,False,False
QPR,False,False
Watford,False,False
Sunderland,False,False
Hull,False,False
Swansea,False,False
Southampton,True,False
Blackburn,False,False
Huddersfield,False,False
Bristol City,False,False
Watford,False,False
Middlesbrough,False,False
Rotherham,False,False
Norwich,True,False
West Brom,False,False
Plymouth,True,False
Cardiff,False,False
QPR,True,False
Millwall,False,False
Sheffield Weds,False,False
Coventry,False,False
Stoke,False,False
Birmingham,False,False
Leeds,False,False
Preston,False,False
Leicester,False,False
Ipswich,False,False
Leeds,False,False
Norwich,False,False
Millwall,False,False
Preston,False,False
Sunderland,True,False
Stoke,False,False
QPR,False,False
Huddersfield,False,False
Coventry,False,False
Bristol City,False,False
Leicester,True,False
Swansea,False,False
